objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,version_publishers,version_languages,version_yearpublished,version_nickname
"Among the Stars","110277","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51481693","6.64443","7.01341","2.2368","1002","9749","thing","Among the Stars","2","4","30","30","30","2012","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Amun-Re","5404","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51480325","6.922","7.28477","3.0294","585","10746","thing","Amun-Re","3","5","90","90","90","2003","4,5","5","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Amyitis","29934","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51480365","6.31243","6.90002","3.2156","1792","3885","thing","Amyitis","2","4","120","120","60","2007","2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Anachrony","185343","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","58775706","7.73528","8.04584","3.9991","59","26431","thing","Anachrony","1","4","120","120","30","2017","1,2,3,4","3","14+","No necessary in-game text","","","","","","standalone","","","","",""
"Andromeda","141","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50635487","5.81747","6.38658","2.2248","4499","1969","thing","Andromeda","3","5","60","60","60","1999","3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","ABACUSSPIELE; Grünspan-Spiele","German","1999","German edition"
"Animal Upon Animal","17329","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50633039","6.49011","6.76727","1.0386","1318","14438","thing","Animal Upon Animal","2","4","15","15","15","2005","2,3,4","4","3+","No necessary in-game text","","","","","","standalone","","HABA","Dutch; English; French; German; Italian; Spanish","2005","English first edition"
"Antike Duellum","104955","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51481725","6.19866","7.06064","2.8672","2197","2431","thing","Antike Duellum","2","2","75","75","75","2012","2","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Antiquity","13122","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","58602812","7.06352","7.83089","4.3198","426","6011","thing","Antiquity","2","4","180","180","120","2004","2,3,4","2,3","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Apples to Apples","74","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","58136646","5.62884","5.74112","1.1532","7971","30928","thing","Apples to Apples","4","10","30","30","20","1999","4,5,6,7,8,9,10","6,7,8","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Aquileia","108161","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50635062","5.70991","6.72691","2.925","5970","919","thing","Aquileia","3","5","90","90","90","2011","4,5","5","10+","No necessary in-game text","","","","","","standalone","","Zoch Verlag","English; German; Italian","2011","Multilingual first edition"
"Arcadia Quest","155068","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","56818562","7.13493","7.58856","2.5335","354","16987","thing","Arcadia Quest","2","4","60","60","60","2014","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Archaeology: The Card Game","31105","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50637825","6.15941","6.65377","1.3361","2339","3764","thing","Archaeology: The Card Game","2","4","20","20","20","2009","2,3,4","3","6+","No necessary in-game text","","","","","","standalone","","Z-Man Games","English","2009","Z-Man English first edition"
"Archaeology: The New Expedition","191300","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","58798585","6.55394","7.11779","1.2727","1169","7211","thing","Archaeology: The New Expedition","2","5","30","30","20","2016","2,3,4,5","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Arctic Scavengers","41933","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","55739679","6.23715","6.74238","2.2667","2041","3918","thing","Arctic Scavengers","2","5","60","60","45","2009","2,3,4,5","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Ark","19947","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51480526","5.78588","6.25494","2.209","4865","1922","thing","Ark","3","5","45","45","45","2005","2,3,4,5","3","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Arkham Horror","15987","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","52640472","7.01921","7.23861","3.5846","468","55253","thing","Arkham Horror","1","8","240","240","120","2005","1,2,3,4,5,6","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Arkham Horror: The Card Game","205637","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","58775612","7.89529","8.125","3.5644","32","82101","thing","Arkham Horror: The Card Game","1","2","120","120","60","2016","1,2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Article 27: The UN Security Council Game","113293","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50635656","5.77069","6.44239","2.1071","5055","1179","thing","Article 27: The UN Security Council Game","3","6","30","30","30","2012","4,5,6","6","10+","No necessary in-game text","","","","","","standalone","","Stronghold Games","English","2012","English edition"
"Ascended","203410","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50632786","5.49571","6.09302","2","25907","108","thing","Ascended","1","4","90","90","60","2017","3,4","3","","","","","","","","standalone","","Saved Game, Lda","English","2017","English second edition"
"Ascension: Deckbuilding Game","69789","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51480969","6.75961","7.04374","2.1375","797","15468","thing","Ascension: Deckbuilding Game","1","4","30","30","30","2010","2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Ashes Reborn: Rise of the Phoenixborn","167400","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","51816059","6.74099","7.30502","2.9124","827","12055","thing","Ashes Reborn: Rise of the Phoenixborn","2","4","120","120","30","2015","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"AstroNuts","88011","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51481354","5.5076","6.06897","1.2","22776","126","thing","AstroNuts","2","4","30","30","30","2012","2,3,4","3,4","8–18","No necessary in-game text","","","","","","standalone","","","","",""
"At Full Throttle","41190","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51479751","5.49248","5.13068","1","26534","96","thing","At Full Throttle","2","4","10","10","10","2009","1,2,3,4","2,3,4","5+","No necessary in-game text","","","","","","standalone","","","","",""
"At the Gates of Loyang","39683","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51479190","7.02551","7.35122","3.1137","462","14975","thing","At the Gates of Loyang","1","4","120","120","60","2009","1,2,3,4","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Atlantic Star","2570","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51480163","6.08787","6.85124","2.1416","2661","1700","thing","Atlantic Star","2","6","60","60","60","2001","2,3,4,5,6","3","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Atlantis","55253","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51479496","5.97799","6.52324","1.8148","3245","2602","thing","Atlantis","2","4","45","45","45","2009","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","",""
"AttrAction","129946","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51481178","5.5895","6.2228","1.1667","9747","434","thing","AttrAction","2","5","10","10","10","2012","2,3,4,5","2,3","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Attribute","4553","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51479380","5.76814","6.33766","1.178","5086","1307","thing","Attribute","3","8","30","30","30","2002","4,5,6,7,8","6,7","8+","Unplayable in another language","","","","","","standalone","","","","",""
"Augsburg 1520","21892","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51480540","5.82826","6.41272","2.6566","4399","2184","thing","Augsburg 1520","2","5","75","75","25","2006","3,4,5","5","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Azul","230802","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","58776046","7.61102","7.72116","1.7743","92","173974","thing","Azul","2","4","45","45","30","2017","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Azul: Stained Glass of Sintra","256226","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","58776305","6.99706","7.28734","2.01","491","24513","thing","Azul: Stained Glass of Sintra","2","4","45","45","30","2018","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Backseat Drawing","34905","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50637729","5.55335","6.20871","1.1111","12562","458","thing","Backseat Drawing","4","10","30","30","20","2008","4,5,6,7,8,9,10","","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Out of the Box Publishing","English","2008","English edition"
"Balloon Cup","5716","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51479478","6.34538","6.67744","1.46","1696","6545","thing","Balloon Cup","2","2","30","30","30","2003","2","2","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Los Banditos","38387","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51480106","5.628","6.31074","1.4054","7998","547","thing","Los Banditos","2","2","15","15","15","2008","2","2","8+","No necessary in-game text","","","","","","standalone","","","","",""
"BANG!","3955","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50638093","6.32021","6.4867","1.6332","1771","45360","thing","BANG!","4","7","40","40","20","2006","5,6,7","7","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","DV Games; Mayfair Games","English; Italian","2006","Mayfair English/Italian edition 2006"
"BANG! Dodge City","9653","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50637947","6.36329","6.86717","1.6476","0","9424","thing","BANG! Dodge City","3","8","40","40","20","2004","5,6,7,8","7,8","10+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","DV Games; Mayfair Games","English; Italian","2004","English-only edition"
"BANG! The Dice Game","143741","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50636993","6.72472","6.8807","1.2799","853","42161","thing","BANG! The Dice Game","3","8","15","15","15","2013","5,6,7,8","6,7","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","DV Games","English; Italian","2013","English/Italian first edition"
"Bärenpark","219513","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50633215","7.07418","7.27849","1.6611","413","27624","thing","Bärenpark","2","4","45","45","30","2017","2,3,4","4","6+","No necessary in-game text","","","","","","standalone","","Lookout Games; Mayfair Games","English; German","2017","English/German first edition"
"Basari: Das Kartenspiel","152567","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51481028","5.66354","6.5413","1.8824","6969","868","thing","Basari: Das Kartenspiel","3","5","30","30","30","2014","3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Basilica","38931","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51480551","5.70968","6.52164","2.2909","5978","781","thing","Basilica","2","2","45","45","45","2010","2","2","10+","No necessary in-game text","","","","","","standalone","","","","",""
"BasketBoss","56758","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51479197","5.71239","6.40675","2.125","5927","776","thing","BasketBoss","2","5","50","50","50","2009","3,4,5","4,5","8+","No necessary in-game text","","","","","","standalone","","","","",""
"The Battle for Hill 218","32484","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51481018","5.98292","6.5751","1.7102","3216","2098","thing","The Battle for Hill 218","2","2","30","30","15","2007","2","2","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Battle Line","760","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50634337","7.17512","7.41506","1.8892","321","22325","thing","Battle Line","2","2","30","30","30","2007","2","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","GMT Games","English","2007","GMT English third edition"
"BattleCON: War of Indines","89409","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","52640475","6.44532","7.62844","2.7586","1436","3807","thing","BattleCON: War of Indines","2","4","60","60","15","2012","2,3,4","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"BattleLore","25417","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50633690","6.91617","7.34935","2.7666","593","11304","thing","BattleLore","2","2","60","60","60","2006","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Days of Wonder","English","2006","English edition"
"Battlestar Galactica: The Board Game","37111","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50634769","7.52797","7.72923","3.2504","120","40320","thing","Battlestar Galactica: The Board Game","3","6","180","180","120","2008","4,5,6","5","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","Fantasy Flight Games","English","2008","English first edition"
"Die Baumeister von Arkadia","25643","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50635241","6.42413","6.91451","2.5667","1482","4794","thing","Arkadia","2","4","60","60","45","2007","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","Ravensburger","German","2007","Ravensburger German edition with SdJ logo"
"Betrayal at House on the Hill","10547","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50634862","6.79257","7.01341","2.3989","751","84727","thing","Betrayal at House on the Hill","3","6","60","60","60","2010","3,4,5,6","5,6","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","Avalon Hill; Hasbro; Wizards of the Coast","English","2010","English second edition (with problem tiles)"
"Between Two Cities","168435","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50632680","6.71242","6.97042","1.8158","868","14433","thing","Between Two Cities","1","7","25","25","25","2015","3,4,5,6,7","5,6","8+","No necessary in-game text","","","","","","standalone","","Stonemaier Games","English","2015","English edition"
"Big Points","34004","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51481845","5.77278","6.44281","1.3429","5023","974","thing","Big Points","2","5","20","20","20","2008","2,3,4,5","3,4","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Bison: Thunder on the Prairie","21287","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51480545","5.77955","6.27742","2.7301","4940","2251","thing","Bison: Thunder on the Prairie","2","4","90","90","90","2006","2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Black Box +","31853","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50637108","5.60904","7.28027","2.2778","8765","315","thing","Black Box +","2","2","15","15","15","2007","1,2","2","10+","No necessary in-game text","","","","","","standalone","","franjos Spieleverlag","Dutch; English; French; German; Italian","2007","Multilingual edition"
"Black Stories","18803","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50637883","5.80525","5.99047","1.2569","4627","10395","thing","Black Stories","2","99","20","20","20","2009","3,4,5,6,7,8,9,10,11","4,5,6","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","Kikigagne?","English","2009","English US edition 2009"
"Blink","1197","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51479620","5.71085","5.98067","1.0656","5952","5878","thing","Blink","2","3","10","10","10","1995","2,3","2","5+","No necessary in-game text","","","","","","standalone","","","","",""
"Blockers!","29073","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50636231","6.06086","6.62595","1.6919","2799","2588","thing","Blockers!","2","5","40","40","30","2011","2,3,4,5","4,5","8+","No necessary in-game text","","","","","","standalone","","AMIGO","German","2011","AMIGO German edition"
"Blokus","2453","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50636531","6.70987","6.86185","1.7329","874","42921","thing","Blokus","2","4","20","20","20","2009","2,4","4","6+","No necessary in-game text","","","","","","standalone","","Mattel, Inc.","English","2009","Mattel English deluxe edition"
"Blood Rage","170216","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","58775679","7.7302","7.90483","2.8817","61","60824","thing","Blood Rage","2","4","90","90","60","2015","3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"The Bloody Inn","180593","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51481738","6.76643","7.07143","2.344","788","15937","thing","The Bloody Inn","1","4","60","60","30","2015","1,2,3,4","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Blue Lagoon","244331","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","58822146","6.70495","7.21081","2.0242","890","8016","thing","Blue Lagoon","2","4","45","45","30","2018","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Bohnanza","11","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50637840","6.95872","7.07667","1.668","540","80589","thing","Bohnanza","2","7","45","45","45","1997","3,4,5,6,7","4,5","8+","No necessary in-game text","","","","","","standalone","","AMIGO","German","1997","Amigo German Fairplay Logo Edition"
"Bombay","40214","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50635175","5.79975","6.18364","2.0449","4698","2225","thing","Bombay","2","5","60","60","30","2009","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","Ystari Games","English; German","2009","English/German edition"
"Bombay Bazar","5640","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50636312","5.50116","5.50515","1.3333","24644","164","thing","Bombay Bazar","1","4","45","45","45","2002","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","Tactic","Danish; Dutch; Estonian; Latvian; Lithuanian; Russian; Swedish","2002","Multilingual edition 2002"
"Bootleggers","12477","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51481757","6.16804","6.67787","2.6215","2311","4382","thing","Bootleggers","3","6","90","90","90","2004","4,5,6","6","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Bootleggers: The Boardwalk","135263","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51481804","5.52393","6.41408","3","0","551","thing","Bootleggers: The Boardwalk","2","6","120","120","120","2013","","","","","","","","","","expansion","","","","",""
"Botswana","398","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","53318131","6.35973","6.85174","1.2881","1652","5622","thing","Botswana","2","5","30","30","20","1994","3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Brass: Birmingham","224517","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","58602756","8.39824","8.5705","3.867","1","79013","thing","Brass: Birmingham","2","4","120","120","60","2018","2,3,4","3,4","14+","No necessary in-game text","","","","","","standalone","","","","",""
"Brass: Lancashire","28720","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51479164","7.95859","8.19705","3.8491","20","35051","thing","Brass: Lancashire","2","4","120","120","60","2007","2,3,4","4","14+","No necessary in-game text","","","","","","standalone","","","","",""
"Brick Party","181161","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51481553","5.7255","6.61416","1.375","5695","1301","thing","Brick Party","2","9","30","30","15","2015","2,4,6,8","4,6,8","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Broom Service: The Card Game","192735","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51480695","5.66987","6.06543","1.4828","6818","3191","thing","Broom Service: The Card Game","3","6","30","30","15","2016","4,5,6","5,6","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Brouhaha","12317","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51481253","5.50431","5.58566","1","23768","350","thing","Brouhaha","3","42","10","10","10","2004","12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31","18,19,20,21,22,23,24,25,26","5+","No necessary in-game text","","","","","","standalone","","","","",""
"Buccaneer","22287","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51478902","5.83193","6.26282","1.5857","4371","2331","thing","Buccaneer","3","5","30","30","30","2006","3,4,5","4,5","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Bucket Brigade","359","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51479409","5.62325","6.02615","1.2667","8164","953","thing","Bucket Brigade","3","5","30","30","30","1998","3,4,5","4,5","6+","No necessary in-game text","","","","","","standalone","","","","",""
